"start_station_name","end_station_name","total_trips","avg_duration"
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Sansome",82,1315.0487804878
"Embarcadero at Sansome","Steuart at Market",49,412.755102040816
"Market at Sansome","2nd at South Park",46,372.130434782609
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Folsom",46,834.413043478261
"2nd at South Park","Market at Sansome",44,397.886363636364
"Market at 10th","San Francisco Caltrain (Townsend at 4th)",43,579.674418604651
"2nd at Townsend","Harry Bridges Plaza (Ferry Building)",42,517.190476190476
"San Francisco Caltrain (Townsend at 4th)","Temporary Transbay Terminal (Howard at Beale)",42,645.857142857143
"San Francisco Caltrain 2 (330 Townsend)","Townsend at 7th",42,235.02380952381
"Townsend at 7th","San Francisco Caltrain (Townsend at 4th)",42,234.02380952381
"San Francisco Caltrain 2 (330 Townsend)","Powell Street BART",41,543.390243902439
"Market at Sansome","San Francisco Caltrain (Townsend at 4th)",40,683.05
"Steuart at Market","San Francisco Caltrain (Townsend at 4th)",40,753.625
"Embarcadero at Folsom","San Francisco Caltrain (Townsend at 4th)",38,602.21052631579
"San Francisco Caltrain (Townsend at 4th)","Harry Bridges Plaza (Ferry Building)",36,712.194444444444
"San Francisco Caltrain (Townsend at 4th)","Market at Sansome",36,589.916666666667
"San Francisco Caltrain (Townsend at 4th)","Steuart at Market",36,847.055555555556
"San Francisco Caltrain 2 (330 Townsend)","5th at Howard",36,670.444444444444
"Temporary Transbay Terminal (Howard at Beale)","San Francisco Caltrain (Townsend at 4th)",36,687.027777777778
"Market at 4th","San Francisco Caltrain (Townsend at 4th)",35,456.542857142857
"Steuart at Market","Embarcadero at Sansome",34,668.852941176471
"Grant Avenue at Columbus Avenue","Market at Sansome",32,445.875
"Civic Center BART (7th at Market)","Townsend at 7th",31,489.290322580645
"Mountain View City Hall","Mountain View Caltrain Station",30,314.066666666667
"San Francisco Caltrain (Townsend at 4th)","Townsend at 7th",30,318.033333333333
"Steuart at Market","San Francisco Caltrain 2 (330 Townsend)",30,695.466666666667
"Castro Street and El Camino Real","Mountain View Caltrain Station",29,404.965517241379
"Harry Bridges Plaza (Ferry Building)","2nd at Townsend",29,688.241379310345
"Market at Sansome","Harry Bridges Plaza (Ferry Building)",29,806
"Mountain View Caltrain Station","Mountain View City Hall",29,286.48275862069
"2nd at Townsend","Steuart at Market",28,517.107142857143
"Embarcadero at Bryant","San Francisco Caltrain (Townsend at 4th)",28,499.928571428571
"Steuart at Market","2nd at Townsend",27,502.296296296296
"5th at Howard","San Francisco Caltrain (Townsend at 4th)",26,379.269230769231
"Beale at Market","San Francisco Caltrain (Townsend at 4th)",26,732.192307692308
"Embarcadero at Sansome","Harry Bridges Plaza (Ferry Building)",26,524.307692307692
"Market at 10th","Market at 4th",25,470.28
"San Antonio Caltrain Station","San Antonio Shopping Center",25,291.92
"San Antonio Shopping Center","San Antonio Caltrain Station",25,235.76
"2nd at Folsom","Market at Sansome",24,325.916666666667
"2nd at South Park","San Francisco Caltrain (Townsend at 4th)",24,3565.54166666667
"Harry Bridges Plaza (Ferry Building)","San Francisco Caltrain (Townsend at 4th)",24,911.458333333333
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Bryant",24,995.375
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Sansome",24,1160.58333333333
"Temporary Transbay Terminal (Howard at Beale)","Broadway St at Battery St",24,585.125
"San Francisco Caltrain 2 (330 Townsend)","Market at 10th",23,4632.78260869565
"Temporary Transbay Terminal (Howard at Beale)","2nd at Townsend",23,419
"Temporary Transbay Terminal (Howard at Beale)","Townsend at 7th",23,770.217391304348
"2nd at Folsom","San Francisco Caltrain (Townsend at 4th)",22,391.409090909091
"Embarcadero at Bryant","Harry Bridges Plaza (Ferry Building)",22,529.954545454545
"Howard at 2nd","San Francisco Caltrain (Townsend at 4th)",22,464.409090909091
"Mountain View Caltrain Station","Castro Street and El Camino Real",22,365.681818181818
"Mountain View Caltrain Station","Evelyn Park and Ride",22,823.818181818182
"Townsend at 7th","Temporary Transbay Terminal (Howard at Beale)",22,787.181818181818
"Powell Street BART","San Francisco Caltrain (Townsend at 4th)",21,475.52380952381
"San Francisco Caltrain (Townsend at 4th)","Market at 10th",21,795.47619047619
"Santa Clara at Almaden","San Jose Diridon Caltrain Station",21,360.380952380952
"2nd at Townsend","San Francisco Caltrain 2 (330 Townsend)",20,240.85
"Beale at Market","Temporary Transbay Terminal (Howard at Beale)",20,113.2
"Market at 10th","Powell Street BART",20,318.55
"San Francisco Caltrain (Townsend at 4th)","Davis at Jackson",20,796.4
"San Francisco Caltrain (Townsend at 4th)","Spear at Folsom",20,583.3
"Spear at Folsom","San Francisco Caltrain (Townsend at 4th)",20,549
"2nd at Townsend","San Francisco Caltrain (Townsend at 4th)",19,361.78947368421
"Broadway St at Battery St","Beale at Market",19,268.789473684211
"Embarcadero at Sansome","Beale at Market",19,626.21052631579
"Embarcadero at Vallejo","San Francisco Caltrain (Townsend at 4th)",19,957.473684210526
"Golden Gate at Polk","San Francisco Caltrain (Townsend at 4th)",19,677.526315789474
"Harry Bridges Plaza (Ferry Building)","Howard at 2nd",19,455.78947368421
"Powell Street BART","Market at 10th",19,1636.47368421053
"Ryland Park","San Jose Diridon Caltrain Station",19,669.368421052632
"South Van Ness at Market","Market at Sansome",19,601.263157894737
