"station_name","total_trips"
"San Francisco Caltrain (Townsend at 4th)",542
"Harry Bridges Plaza (Ferry Building)",313
"San Francisco Caltrain 2 (330 Townsend)",312
"Market at Sansome",302
"Temporary Transbay Terminal (Howard at Beale)",274
"2nd at Townsend",273
"Embarcadero at Sansome",262
"Steuart at Market",254
"Townsend at 7th",220
"Market at 4th",200
"Market at 10th",193
"2nd at South Park",180
"Beale at Market",180
"Grant Avenue at Columbus Avenue",167
"Civic Center BART (7th at Market)",156
"2nd at Folsom",153
"Powell Street BART",153
"Embarcadero at Bryant",150
"Mechanics Plaza (Market at Battery)",130
"Embarcadero at Folsom",129
"South Van Ness at Market",127
"Spear at Folsom",127
"Howard at 2nd",124
"Powell at Post (Union Square)",123
"Commercial at Montgomery",122
"San Jose Diridon Caltrain Station",116
"5th at Howard",111
"Embarcadero at Vallejo",107
"Yerba Buena Center of the Arts (3rd @ Howard)",107
"Davis at Jackson",100
"Clay at Battery",91
"Broadway St at Battery St",90
"Mountain View Caltrain Station",85
"Golden Gate at Polk",76
"Post at Kearney",75
"Washington at Kearney",61
"San Francisco City Hall",56
"Ryland Park",41
"Mountain View City Hall",38
"San Antonio Caltrain Station",35
"San Antonio Shopping Center",34
"Castro Street and El Camino Real",33
"Santa Clara at Almaden",33
"Palo Alto Caltrain Station",29
"San Pedro Square",28
"St James Park",28
"SJSU - San Salvador at 9th",27
"Paseo de San Antonio",26
"San Jose City Hall",26
"San Salvador at 1st",23
"Arena Green / SAP Center",21
"Japantown",21
"Rengstorff Avenue / California Street",21
"California Ave Caltrain Station",20
"Cowper at University",19
"Evelyn Park and Ride",17
"Santa Clara County Civic Center",16
"San Jose Civic Center",14
"Redwood City Caltrain Station",13
"Park at Olive",12
"University and Emerson",12
"Adobe on Almaden",11
"SJSU 4th at San Carlos",11
"MLK Library",9
"Mezes Park",5
"San Mateo County Center",5
"Redwood City Public Library",3
"Stanford in Redwood City",2
"Franklin at Maple",1
