"start_station_name","end_station_name","total_trips","avg_duration"
"2nd at Townsend","San Francisco Caltrain (Townsend at 4th)",17,269.411764705882
"Market at 10th","Powell Street BART",17,422.411764705882
"Mountain View Caltrain Station","Evelyn Park and Ride",17,338.470588235294
"San Francisco Caltrain (Townsend at 4th)","Yerba Buena Center of the Arts (3rd @ Howard)",17,445
"Embarcadero at Sansome","Davis at Jackson",16,281.8125
"Harry Bridges Plaza (Ferry Building)","Howard at 2nd",16,3360.9375
"Market at 10th","Market at 4th",16,439.1875
"Market at Sansome","San Francisco Caltrain 2 (330 Townsend)",16,965.6875
"San Antonio Caltrain Station","San Antonio Shopping Center",16,311.625
"San Francisco Caltrain (Townsend at 4th)","Embarcadero at Sansome",16,1381.8125
"San Francisco Caltrain (Townsend at 4th)","Market at Sansome",16,648.875
"San Francisco Caltrain (Townsend at 4th)","Spear at Folsom",16,584.4375
"San Francisco Caltrain 2 (330 Townsend)","Howard at 2nd",16,468.0625
"Embarcadero at Bryant","Embarcadero at Sansome",15,827.6
"Embarcadero at Sansome","Mechanics Plaza (Market at Battery)",15,2073
"Embarcadero at Sansome","San Francisco Caltrain (Townsend at 4th)",15,983.733333333333
"Embarcadero at Sansome","Temporary Transbay Terminal (Howard at Beale)",15,541.666666666667
"Harry Bridges Plaza (Ferry Building)","Powell at Post (Union Square)",15,2023.53333333333
"Market at 10th","Townsend at 7th",15,465.266666666667
"Powell Street BART","Embarcadero at Sansome",15,2664.2
"San Francisco Caltrain (Townsend at 4th)","Powell Street BART",15,553.266666666667
"Yerba Buena Center of the Arts (3rd @ Howard)","San Francisco Caltrain (Townsend at 4th)",15,498.8
"2nd at Townsend","Davis at Jackson",14,700.785714285714
"Broadway St at Battery St","Beale at Market",14,280.785714285714
"Broadway St at Battery St","Steuart at Market",14,285.142857142857
"Davis at Jackson","San Francisco Caltrain 2 (330 Townsend)",14,846.357142857143
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Bryant",14,429.142857142857
"Harry Bridges Plaza (Ferry Building)","Townsend at 7th",14,890.928571428571
"Market at 4th","Market at 4th",14,10394.5
"Market at Sansome","2nd at Townsend",14,486.857142857143
"San Francisco Caltrain (Townsend at 4th)","2nd at Townsend",14,293.071428571429
"San Francisco Caltrain (Townsend at 4th)","Clay at Battery",14,877.071428571429
"San Pedro Square","San Jose Diridon Caltrain Station",14,432
"Spear at Folsom","San Francisco Caltrain 2 (330 Townsend)",14,583.714285714286
"Spear at Folsom","Townsend at 7th",14,771.357142857143
"Temporary Transbay Terminal (Howard at Beale)","2nd at Townsend",14,435.714285714286
"Temporary Transbay Terminal (Howard at Beale)","Commercial at Montgomery",14,308.714285714286
"Townsend at 7th","Spear at Folsom",14,872.571428571429
"Yerba Buena Center of the Arts (3rd @ Howard)","San Francisco Caltrain 2 (330 Townsend)",14,447.928571428571
"2nd at South Park","San Francisco Caltrain (Townsend at 4th)",13,554.846153846154
"Commercial at Montgomery","Temporary Transbay Terminal (Howard at Beale)",13,349.230769230769
"Embarcadero at Bryant","2nd at Townsend",13,323.384615384615
"Embarcadero at Bryant","Embarcadero at Vallejo",13,793.307692307692
"Embarcadero at Folsom","Embarcadero at Sansome",13,2061.84615384615
"Embarcadero at Sansome","2nd at Townsend",13,1934.61538461538
"Embarcadero at Sansome","Clay at Battery",13,385.230769230769
"Embarcadero at Sansome","Embarcadero at Vallejo",13,2303.46153846154
"Embarcadero at Sansome","Powell Street BART",13,1116.92307692308
"Mechanics Plaza (Market at Battery)","San Francisco Caltrain (Townsend at 4th)",13,795.769230769231
"San Francisco Caltrain (Townsend at 4th)","2nd at Folsom",13,491.076923076923
"San Francisco Caltrain 2 (330 Townsend)","Davis at Jackson",13,835
"South Van Ness at Market","Market at Sansome",13,619.538461538462
"Steuart at Market","Embarcadero at Bryant",13,354.769230769231
"Temporary Transbay Terminal (Howard at Beale)","Broadway St at Battery St",13,931
"Townsend at 7th","2nd at Folsom",13,638
"2nd at Folsom","Harry Bridges Plaza (Ferry Building)",12,418.583333333333
"2nd at Townsend","Market at 4th",12,703.5
"Broadway St at Battery St","2nd at Townsend",12,805.833333333333
"Broadway St at Battery St","Mechanics Plaza (Market at Battery)",12,419.5
"Clay at Battery","Embarcadero at Sansome",12,636.75
"Commercial at Montgomery","Market at Sansome",12,305.5
"Embarcadero at Vallejo","San Francisco Caltrain (Townsend at 4th)",12,979
"Embarcadero at Vallejo","Temporary Transbay Terminal (Howard at Beale)",12,468.583333333333
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Vallejo",12,2196.83333333333
"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",12,6611
"Harry Bridges Plaza (Ferry Building)","Market at Sansome",12,960.25
"Howard at 2nd","Steuart at Market",12,354.5
"MLK Library","San Jose Diridon Caltrain Station",12,472.083333333333
"Market at 4th","Temporary Transbay Terminal (Howard at Beale)",12,390.166666666667
"Market at Sansome","South Van Ness at Market",12,738.333333333333
"Post at Kearny","San Francisco Caltrain 2 (330 Townsend)",12,703
"Powell Street BART","Townsend at 7th",12,639.333333333333
"Redwood City Caltrain Station","Stanford in Redwood City",12,811.916666666667
"Ryland Park","San Jose Diridon Caltrain Station",12,564.083333333333
"San Francisco Caltrain (Townsend at 4th)","Market at 4th",12,609.666666666667
"San Francisco Caltrain 2 (330 Townsend)","Civic Center BART (7th at Market)",12,672.416666666667
"San Francisco Caltrain 2 (330 Townsend)","Embarcadero at Sansome",12,8010.08333333333
"San Francisco Caltrain 2 (330 Townsend)","Golden Gate at Polk",12,828.416666666667
"San Francisco Caltrain 2 (330 Townsend)","Spear at Folsom",12,605.666666666667
"Townsend at 7th","Temporary Transbay Terminal (Howard at Beale)",12,814.5
"2nd at Folsom","2nd at Townsend",11,270.727272727273
"2nd at Townsend","Clay at Battery",11,899.727272727273
"2nd at Townsend","Embarcadero at Folsom",11,441.727272727273
"2nd at Townsend","Howard at 2nd",11,352.454545454545
"2nd at Townsend","Temporary Transbay Terminal (Howard at Beale)",11,468.909090909091
"2nd at Townsend","Townsend at 7th",11,503
"Civic Center BART (7th at Market)","Market at 4th",11,648
"Civic Center BART (7th at Market)","San Francisco Caltrain 2 (330 Townsend)",11,584
"Commercial at Montgomery","San Francisco Caltrain (Townsend at 4th)",11,843.090909090909
"Embarcadero at Bryant","Embarcadero at Folsom",11,274.818181818182
"Embarcadero at Folsom","2nd at Townsend",11,449.727272727273
"Golden Gate at Polk","Temporary Transbay Terminal (Howard at Beale)",11,760.363636363636
"Harry Bridges Plaza (Ferry Building)","Market at 4th",11,895
"Market at 10th","Market at 10th",11,1167
"Market at 4th","Embarcadero at Sansome",11,1422.27272727273
"Post at Kearny","Harry Bridges Plaza (Ferry Building)",11,520.818181818182
"Powell at Post (Union Square)","Howard at 2nd",11,316.454545454545
"Powell at Post (Union Square)","San Francisco Caltrain (Townsend at 4th)",11,602
"San Francisco Caltrain (Townsend at 4th)","Broadway St at Battery St",11,916.454545454545
"San Francisco Caltrain (Townsend at 4th)","Post at Kearny",11,526.545454545455
"San Francisco Caltrain 2 (330 Townsend)","Market at 4th",11,553.727272727273
"South Van Ness at Market","Townsend at 7th",11,695.272727272727
"2nd at Folsom","Townsend at 7th",10,604.4
"2nd at Townsend","Embarcadero at Sansome",10,1056.3
"5th at Howard","Temporary Transbay Terminal (Howard at Beale)",10,1003.2
"Beale at Market","2nd at Townsend",10,450.7
"Clay at Battery","Temporary Transbay Terminal (Howard at Beale)",10,280.8
"Embarcadero at Bryant","Mechanics Plaza (Market at Battery)",10,450.9
"Embarcadero at Sansome","Beale at Market",10,536.1
"Embarcadero at Sansome","Embarcadero at Folsom",10,497.6
"Embarcadero at Sansome","Grant Avenue at Columbus Avenue",10,3257.8
"Grant Avenue at Columbus Avenue","Beale at Market",10,492
"Grant Avenue at Columbus Avenue","Embarcadero at Folsom",10,598.9
"Grant Avenue at Columbus Avenue","Market at 4th",10,713.1
"Harry Bridges Plaza (Ferry Building)","2nd at Folsom",10,441.4
"Harry Bridges Plaza (Ferry Building)","5th at Howard",10,580.9
"Harry Bridges Plaza (Ferry Building)","Powell Street BART",10,1841.2
"Howard at 2nd","Market at Sansome",10,177.9
"Market at 4th","San Francisco Caltrain 2 (330 Townsend)",10,514.2
"Market at Sansome","Davis at Jackson",10,415.8
"Market at Sansome","Embarcadero at Sansome",10,1871.4
"Market at Sansome","Grant Avenue at Columbus Avenue",10,682.2
"Mechanics Plaza (Market at Battery)","Embarcadero at Sansome",10,659.8
"Powell at Post (Union Square)","Steuart at Market",10,514.1
"San Antonio Shopping Center","San Antonio Caltrain Station",10,217.7
"San Francisco Caltrain (Townsend at 4th)","5th at Howard",10,378.4
"San Francisco Caltrain (Townsend at 4th)","Washington at Kearny",10,940
"San Francisco Caltrain 2 (330 Townsend)","Post at Kearny",10,752.2
"San Francisco Caltrain 2 (330 Townsend)","Yerba Buena Center of the Arts (3rd @ Howard)",10,371.9
"San Jose Diridon Caltrain Station","Japantown",10,850.1
"San Jose Diridon Caltrain Station","Paseo de San Antonio",10,480.3
"South Van Ness at Market","Civic Center BART (7th at Market)",10,316.6
"Temporary Transbay Terminal (Howard at Beale)","Clay at Battery",10,261.2
"Temporary Transbay Terminal (Howard at Beale)","Embarcadero at Sansome",10,592.1
"Townsend at 7th","Embarcadero at Folsom",10,775.4
"Townsend at 7th","Powell Street BART",10,603.6
"Townsend at 7th","San Francisco Caltrain (Townsend at 4th)",10,304.3
"University and Emerson","University and Emerson",10,120554.9
"Yerba Buena Center of the Arts (3rd @ Howard)","Townsend at 7th",10,685.2
"2nd at Townsend","2nd at Folsom",9,329.888888888889
"2nd at Townsend","Mechanics Plaza (Market at Battery)",9,625
"Beale at Market","Commercial at Montgomery",9,281.333333333333
"Beale at Market","Powell Street BART",9,3725.11111111111
"Beale at Market","San Francisco Caltrain 2 (330 Townsend)",9,740.666666666667
"Cowper at University","Palo Alto Caltrain Station",9,248.555555555556
"Davis at Jackson","Beale at Market",9,228.444444444444
"Davis at Jackson","Market at Sansome",9,433.555555555556
"Embarcadero at Bryant","Steuart at Market",9,330.555555555556
"Embarcadero at Sansome","Embarcadero at Bryant",9,756.888888888889
"Embarcadero at Sansome","Market at 4th",9,1551
"Embarcadero at Vallejo","2nd at Townsend",9,1053.44444444444
"Grant Avenue at Columbus Avenue","Commercial at Montgomery",9,240.666666666667
"Grant Avenue at Columbus Avenue","Temporary Transbay Terminal (Howard at Beale)",9,460
"Harry Bridges Plaza (Ferry Building)","Commercial at Montgomery",9,1541.55555555556
"Harry Bridges Plaza (Ferry Building)","San Francisco Caltrain 2 (330 Townsend)",9,897.888888888889
"Howard at 2nd","5th at Howard",9,265.555555555556
"Howard at 2nd","Market at 4th",9,307.444444444444
"Japantown","San Jose Diridon Caltrain Station",9,810.777777777778
"Market at 10th","San Francisco Caltrain (Townsend at 4th)",9,635.111111111111
"Market at 4th","2nd at Townsend",9,1525.11111111111
"Market at Sansome","Commercial at Montgomery",9,833.333333333333
"Mechanics Plaza (Market at Battery)","Embarcadero at Bryant",9,430.444444444444
"Palo Alto Caltrain Station","Cowper at University",9,228.666666666667
"Powell Street BART","Harry Bridges Plaza (Ferry Building)",9,1895.22222222222
"Powell Street BART","Market at 10th",9,419.444444444444
"Powell Street BART","Market at Sansome",9,383
"SJSU - San Salvador at 9th","Paseo de San Antonio",9,341.555555555556
"San Francisco Caltrain 2 (330 Townsend)","Broadway St at Battery St",9,875.777777777778
"San Jose Diridon Caltrain Station","San Jose Civic Center",9,448.111111111111
"South Van Ness at Market","Powell Street BART",9,427.222222222222
"Stanford in Redwood City","Redwood City Caltrain Station",9,832.222222222222
"Steuart at Market","Broadway St at Battery St",9,344.111111111111
"Steuart at Market","Howard at 2nd",9,306.666666666667
"Steuart at Market","Steuart at Market",9,13767.2222222222
"Steuart at Market","Yerba Buena Center of the Arts (3rd @ Howard)",9,555.888888888889
"Temporary Transbay Terminal (Howard at Beale)","Embarcadero at Vallejo",9,473.555555555556
"Temporary Transbay Terminal (Howard at Beale)","Steuart at Market",9,249.777777777778
"Washington at Kearny","Broadway St at Battery St",9,9299.33333333333
"Yerba Buena Center of the Arts (3rd @ Howard)","5th at Howard",9,158.555555555556
"2nd at Townsend","Embarcadero at Vallejo",8,885.75
"Beale at Market","Embarcadero at Vallejo",8,2077.25
"Beale at Market","Temporary Transbay Terminal (Howard at Beale)",8,143
"Broadway St at Battery St","Market at Sansome",8,338.375
"Broadway St at Battery St","Temporary Transbay Terminal (Howard at Beale)",8,453
"Civic Center BART (7th at Market)","Temporary Transbay Terminal (Howard at Beale)",8,501
"Commercial at Montgomery","Yerba Buena Center of the Arts (3rd @ Howard)",8,360.25
"Davis at Jackson","2nd at Townsend",8,723
"Embarcadero at Folsom","Townsend at 7th",8,809.25
"Embarcadero at Sansome","Howard at 2nd",8,706.625
"Embarcadero at Sansome","San Francisco Caltrain 2 (330 Townsend)",8,985.875
"Embarcadero at Vallejo","Embarcadero at Bryant",8,651
"Embarcadero at Vallejo","Embarcadero at Vallejo",8,13906.75
"Embarcadero at Vallejo","Harry Bridges Plaza (Ferry Building)",8,835
"Golden Gate at Polk","Post at Kearny",8,622.75
"Harry Bridges Plaza (Ferry Building)","Grant Avenue at Columbus Avenue",8,3399.875
