"start_station_name","end_station_name","total_trips","avg_duration"
"Washington at Kearny","Embarcadero at Sansome",6,881
"Washington at Kearny","Powell Street BART",6,525.833333333333
"Washington at Kearny","Washington at Kearny",6,2258.83333333333
"2nd at Folsom","Grant Avenue at Columbus Avenue",5,575.6
"2nd at Folsom","Howard at 2nd",5,136.8
"2nd at Folsom","San Francisco Caltrain 2 (330 Townsend)",5,449.4
"2nd at South Park","2nd at Townsend",5,872
"2nd at South Park","Davis at Jackson",5,840.2
"2nd at South Park","Embarcadero at Vallejo",5,954.6
"2nd at South Park","Post at Kearny",5,664.2
"2nd at Townsend","Spear at Folsom",5,408.6
"2nd at Townsend","Yerba Buena Center of the Arts (3rd @ Howard)",5,541.4
"Adobe on Almaden","San Jose Diridon Caltrain Station",5,248.4
"Beale at Market","Grant Avenue at Columbus Avenue",5,1554.8
"Beale at Market","Market at 10th",5,1931.2
"Broadway St at Battery St","Market at 4th",5,712.2
"California Ave Caltrain Station","California Ave Caltrain Station",5,1873
"Civic Center BART (7th at Market)","Beale at Market",5,551
"Civic Center BART (7th at Market)","Grant Avenue at Columbus Avenue",5,857.2
"Civic Center BART (7th at Market)","South Van Ness at Market",5,840.6
"Clay at Battery","Harry Bridges Plaza (Ferry Building)",5,231
"Clay at Battery","San Francisco Caltrain 2 (330 Townsend)",5,832
"Commercial at Montgomery","2nd at South Park",5,264.8
"Commercial at Montgomery","Embarcadero at Bryant",5,614.4
"Commercial at Montgomery","San Francisco City Hall",5,904.6
"Davis at Jackson","Commercial at Montgomery",5,221.8
"Davis at Jackson","Davis at Jackson",5,2721.2
"Embarcadero at Bryant","San Francisco Caltrain 2 (330 Townsend)",5,386.6
"Embarcadero at Folsom","2nd at South Park",5,258.4
"Embarcadero at Folsom","Embarcadero at Vallejo",5,418
"Embarcadero at Folsom","Market at 4th",5,1410.6
"Embarcadero at Sansome","Market at 10th",5,1712.2
"Embarcadero at Sansome","Powell at Post (Union Square)",5,1360
"Embarcadero at Sansome","South Van Ness at Market",5,1215.6
"Embarcadero at Vallejo","Market at 4th",5,26444.4
"Golden Gate at Polk","Embarcadero at Sansome",5,1257.6
"Golden Gate at Polk","Market at 4th",5,564
"Golden Gate at Polk","Townsend at 7th",5,638.8
"Grant Avenue at Columbus Avenue","2nd at Townsend",5,888.2
"Grant Avenue at Columbus Avenue","Harry Bridges Plaza (Ferry Building)",5,766
"Harry Bridges Plaza (Ferry Building)","Broadway St at Battery St",5,2016.6
"Harry Bridges Plaza (Ferry Building)","Temporary Transbay Terminal (Howard at Beale)",5,283
"Harry Bridges Plaza (Ferry Building)","Yerba Buena Center of the Arts (3rd @ Howard)",5,605.8
"Market at 10th","2nd at Folsom",5,649
"Market at 10th","Market at Sansome",5,563.2
"Market at 10th","Post at Kearny",5,510.6
"Market at 10th","San Francisco City Hall",5,1307.6
"Market at 4th","Market at Sansome",5,1098.8
"Market at 4th","Powell Street BART",5,126.2
"Market at 4th","South Van Ness at Market",5,596.8
"Market at 4th","Washington at Kearny",5,319.6
"Market at Sansome","Broadway St at Battery St",5,1232.8
"Market at Sansome","Market at Sansome",5,6064.2
"Market at Sansome","Powell Street BART",5,397.4
"Mechanics Plaza (Market at Battery)","Harry Bridges Plaza (Ferry Building)",5,1010.6
"Mechanics Plaza (Market at Battery)","Washington at Kearny",5,424
"Powell Street BART","Civic Center BART (7th at Market)",5,128.6
"Powell Street BART","Washington at Kearny",5,489.8
"Powell at Post (Union Square)","Beale at Market",5,336.6
"Rengstorff Avenue / California Street","Mountain View Caltrain Station",5,607.2
"SJSU - San Salvador at 9th","San Jose City Hall",5,446.6
"SJSU - San Salvador at 9th","San Jose Diridon Caltrain Station",5,750.2
"San Francisco Caltrain (Townsend at 4th)","Civic Center BART (7th at Market)",5,611
"San Francisco Caltrain 2 (330 Townsend)","Washington at Kearny",5,1010.4
"San Francisco City Hall","Market at 10th",5,2939
"San Francisco City Hall","Market at 4th",5,844.2
"San Jose Diridon Caltrain Station","San Jose City Hall",5,752.6
"South Van Ness at Market","Market at 4th",5,3554.2
"South Van Ness at Market","Mechanics Plaza (Market at Battery)",5,829.2
"South Van Ness at Market","Temporary Transbay Terminal (Howard at Beale)",5,854
"Spear at Folsom","Market at 4th",5,503.2
"Spear at Folsom","Mechanics Plaza (Market at Battery)",5,455.8
"St James Park","San Jose Diridon Caltrain Station",5,472.6
"Steuart at Market","Golden Gate at Polk",5,923.2
"Steuart at Market","Post at Kearny",5,513
"Temporary Transbay Terminal (Howard at Beale)","Embarcadero at Bryant",5,310.4
"Washington at Kearny","Davis at Jackson",5,4665.8
"Yerba Buena Center of the Arts (3rd @ Howard)","Steuart at Market",5,417.8
"2nd at Folsom","5th at Howard",4,320
"2nd at Folsom","Embarcadero at Folsom",4,277.5
"2nd at Folsom","Market at 4th",4,363.5
"2nd at Folsom","Post at Kearny",4,555.25
"2nd at South Park","Market at 4th",4,886.25
"2nd at South Park","Steuart at Market",4,1271.5
"2nd at Townsend","Embarcadero at Bryant",4,279.75
"2nd at Townsend","Post at Kearny",4,957.75
"5th at Howard","Commercial at Montgomery",4,567
"5th at Howard","Embarcadero at Sansome",4,871
"5th at Howard","Post at Kearny",4,357.25
"Arena Green / SAP Center","Arena Green / SAP Center",4,1316.75
"Beale at Market","2nd at South Park",4,258
"Beale at Market","Harry Bridges Plaza (Ferry Building)",4,378.25
"Beale at Market","Howard at 2nd",4,306
"Beale at Market","Washington at Kearny",4,452.5
"Broadway St at Battery St","Embarcadero at Sansome",4,185.75
"Broadway St at Battery St","Post at Kearny",4,580
"California Ave Caltrain Station","Cowper at University",4,1110.5
"Civic Center BART (7th at Market)","5th at Howard",4,370.5
"Civic Center BART (7th at Market)","Harry Bridges Plaza (Ferry Building)",4,971.25
"Civic Center BART (7th at Market)","Market at Sansome",4,693.5
"Civic Center BART (7th at Market)","Powell Street BART",4,8015.5
"Civic Center BART (7th at Market)","Washington at Kearny",4,478.5
"Clay at Battery","Mechanics Plaza (Market at Battery)",4,516.75
"Commercial at Montgomery","Clay at Battery",4,263.75
"Commercial at Montgomery","Embarcadero at Sansome",4,684.25
"Commercial at Montgomery","Harry Bridges Plaza (Ferry Building)",4,847.75
"Davis at Jackson","Spear at Folsom",4,427.75
"Embarcadero at Bryant","Beale at Market",4,493
"Embarcadero at Folsom","Harry Bridges Plaza (Ferry Building)",4,3949.5
"Embarcadero at Folsom","Howard at 2nd",4,356.75
"Embarcadero at Sansome","Broadway St at Battery St",4,269.5
"Embarcadero at Sansome","Commercial at Montgomery",4,590.5
"Embarcadero at Vallejo","Davis at Jackson",4,767
"Golden Gate at Polk","Market at Sansome",4,453.25
"Golden Gate at Polk","Yerba Buena Center of the Arts (3rd @ Howard)",4,611
"Grant Avenue at Columbus Avenue","Embarcadero at Vallejo",4,1847
"Grant Avenue at Columbus Avenue","San Francisco Caltrain (Townsend at 4th)",4,987
"Harry Bridges Plaza (Ferry Building)","Beale at Market",4,3237.25
"Harry Bridges Plaza (Ferry Building)","Clay at Battery",4,211.75
"Howard at 2nd","Embarcadero at Folsom",4,258.25
"Howard at 2nd","Powell at Post (Union Square)",4,916.25
"Howard at 2nd","Spear at Folsom",4,426.75
"Market at 10th","Golden Gate at Polk",4,234.5
"Market at 10th","Temporary Transbay Terminal (Howard at Beale)",4,717.75
"Market at 10th","Washington at Kearny",4,633.5
"Market at 4th","Beale at Market",4,371.75
"Market at 4th","Civic Center BART (7th at Market)",4,1290
"Market at 4th","Commercial at Montgomery",4,296.5
"Market at 4th","Embarcadero at Vallejo",4,1342.75
"Market at 4th","Howard at 2nd",4,320
"Market at Sansome","Embarcadero at Bryant",4,473.75
"Market at Sansome","Yerba Buena Center of the Arts (3rd @ Howard)",4,218.5
"Mechanics Plaza (Market at Battery)","Civic Center BART (7th at Market)",4,727.75
"Mechanics Plaza (Market at Battery)","Davis at Jackson",4,418.5
"Mechanics Plaza (Market at Battery)","Howard at 2nd",4,420.75
"Mechanics Plaza (Market at Battery)","Market at 4th",4,615.5
"Mechanics Plaza (Market at Battery)","Powell Street BART",4,2204
"Mechanics Plaza (Market at Battery)","Temporary Transbay Terminal (Howard at Beale)",4,179.25
"Mountain View Caltrain Station","Mountain View Caltrain Station",4,11379
"Powell Street BART","San Francisco City Hall",4,963
"Powell at Post (Union Square)","Embarcadero at Sansome",4,621.75
"Powell at Post (Union Square)","Post at Kearny",4,573.5
"Powell at Post (Union Square)","Powell at Post (Union Square)",4,3264
"Powell at Post (Union Square)","South Van Ness at Market",4,763.5
"Ryland Park","Japantown",4,318.25
"Ryland Park","Santa Clara County Civic Center",4,440.25
"San Francisco Caltrain (Townsend at 4th)","Golden Gate at Polk",4,983
"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain (Townsend at 4th)",4,13344.25
"San Francisco Caltrain (Townsend at 4th)","South Van Ness at Market",4,850.25
"San Francisco Caltrain 2 (330 Townsend)","2nd at South Park",4,73.75
"San Francisco Caltrain 2 (330 Townsend)","Commercial at Montgomery",4,836.25
"San Francisco Caltrain 2 (330 Townsend)","South Van Ness at Market",4,833.75
"San Francisco City Hall","Powell Street BART",4,751.25
"San Jose City Hall","San Jose Diridon Caltrain Station",4,552.75
"San Jose Diridon Caltrain Station","Adobe on Almaden",4,272.75
"San Jose Diridon Caltrain Station","St James Park",4,499.5
"South Van Ness at Market","Market at 10th",4,652.5
"Spear at Folsom","Commercial at Montgomery",4,615.5
"Spear at Folsom","Embarcadero at Vallejo",4,420.5
"Steuart at Market","2nd at South Park",4,449.25
"Steuart at Market","Market at 4th",4,534.75
"Steuart at Market","Powell at Post (Union Square)",4,1047
"Steuart at Market","Temporary Transbay Terminal (Howard at Beale)",4,245
"Temporary Transbay Terminal (Howard at Beale)","Davis at Jackson",4,411.5
"Townsend at 7th","5th at Howard",4,470
"Townsend at 7th","Yerba Buena Center of the Arts (3rd @ Howard)",4,724.25
"Washington at Kearny","San Francisco Caltrain 2 (330 Townsend)",4,1135.5
"2nd at Folsom","Spear at Folsom",3,265
"2nd at South Park","Mechanics Plaza (Market at Battery)",3,681.666666666667
"2nd at South Park","Powell at Post (Union Square)",3,1110.33333333333
"2nd at South Park","Temporary Transbay Terminal (Howard at Beale)",3,691.666666666667
"2nd at Townsend","5th at Howard",3,1145.66666666667
"2nd at Townsend","Grant Avenue at Columbus Avenue",3,1137
"2nd at Townsend","Powell at Post (Union Square)",3,880.666666666667
"2nd at Townsend","South Van Ness at Market",3,1454
"5th at Howard","2nd at Folsom",3,378.666666666667
"5th at Howard","Beale at Market",3,584
"5th at Howard","Broadway St at Battery St",3,1007.66666666667
"5th at Howard","Golden Gate at Polk",3,533.666666666667
"5th at Howard","Powell Street BART",3,200.333333333333
"Adobe on Almaden","Japantown",3,787.666666666667
"Broadway St at Battery St","5th at Howard",3,808.333333333333
"Broadway St at Battery St","Broadway St at Battery St",3,1881.66666666667
"Broadway St at Battery St","Clay at Battery",3,158.333333333333
"Broadway St at Battery St","Harry Bridges Plaza (Ferry Building)",3,237
"Civic Center BART (7th at Market)","Embarcadero at Sansome",3,964.333333333333
"Civic Center BART (7th at Market)","Golden Gate at Polk",3,214.666666666667
"Civic Center BART (7th at Market)","Steuart at Market",3,639
"Clay at Battery","Grant Avenue at Columbus Avenue",3,413.666666666667
"Commercial at Montgomery","2nd at Townsend",3,813.333333333333
"Commercial at Montgomery","Howard at 2nd",3,469
"Commercial at Montgomery","Mechanics Plaza (Market at Battery)",3,256
"Commercial at Montgomery","Post at Kearny",3,266.666666666667
"Commercial at Montgomery","Powell Street BART",3,437.333333333333
"Cowper at University","Park at Olive",3,2072.66666666667
"Cowper at University","University and Emerson",3,285.666666666667
"Davis at Jackson","Civic Center BART (7th at Market)",3,844.666666666667
"Davis at Jackson","Post at Kearny",3,481
"Embarcadero at Bryant","2nd at Folsom",3,578
"Embarcadero at Bryant","Davis at Jackson",3,605.333333333333
"Embarcadero at Folsom","Commercial at Montgomery",3,700.666666666667
"Embarcadero at Folsom","Mechanics Plaza (Market at Battery)",3,1723.33333333333
"Embarcadero at Folsom","South Van Ness at Market",3,1143
"Embarcadero at Sansome","5th at Howard",3,1222.33333333333
"Embarcadero at Sansome","Golden Gate at Polk",3,1791.33333333333
"Embarcadero at Sansome","Townsend at 7th",3,1322.33333333333
"Embarcadero at Vallejo","Beale at Market",3,265.666666666667
"Embarcadero at Vallejo","Civic Center BART (7th at Market)",3,15560
"Embarcadero at Vallejo","Market at Sansome",3,972.333333333333
"Embarcadero at Vallejo","Post at Kearny",3,935
"Embarcadero at Vallejo","Townsend at 7th",3,1004.33333333333
"Golden Gate at Polk","San Francisco City Hall",3,1176.66666666667
"Grant Avenue at Columbus Avenue","Civic Center BART (7th at Market)",3,1035
"Grant Avenue at Columbus Avenue","Clay at Battery",3,194.333333333333
"Grant Avenue at Columbus Avenue","Market at 10th",3,843.333333333333
"Grant Avenue at Columbus Avenue","Powell Street BART",3,491.666666666667
"Grant Avenue at Columbus Avenue","San Francisco Caltrain 2 (330 Townsend)",3,1040.66666666667
"Harry Bridges Plaza (Ferry Building)","Civic Center BART (7th at Market)",3,3314.33333333333
"Harry Bridges Plaza (Ferry Building)","Market at 10th",3,1461.66666666667
"Harry Bridges Plaza (Ferry Building)","Post at Kearny",3,388.666666666667
"Harry Bridges Plaza (Ferry Building)","Washington at Kearny",3,10305.3333333333
"Howard at 2nd","2nd at Folsom",3,152
"Howard at 2nd","Howard at 2nd",3,948.666666666667
"Howard at 2nd","Powell Street BART",3,1613.66666666667
"Japantown","Adobe on Almaden",3,852
"Japantown","MLK Library",3,1057.66666666667
"Japantown","San Jose Civic Center",3,2032.33333333333
"Market at 10th","Embarcadero at Sansome",3,6265.33333333333
"Market at 10th","Powell at Post (Union Square)",3,656.666666666667
"Market at 10th","Spear at Folsom",3,874.333333333333
"Market at 4th","San Francisco City Hall",3,792
"Market at 4th","Yerba Buena Center of the Arts (3rd @ Howard)",3,160.333333333333
"Market at Sansome","2nd at Folsom",3,267.333333333333
"Market at Sansome","Powell at Post (Union Square)",3,367
"Market at Sansome","Steuart at Market",3,282
"Mechanics Plaza (Market at Battery)","Broadway St at Battery St",3,396
"Mechanics Plaza (Market at Battery)","Embarcadero at Vallejo",3,6199.33333333333
"Mezes Park","Redwood City Caltrain Station",3,742
"Paseo de San Antonio","San Salvador at 1st",3,169
"Post at Kearny","2nd at Townsend",3,430.666666666667
"Post at Kearny","5th at Howard",3,333.666666666667
"Post at Kearny","Civic Center BART (7th at Market)",3,482
"Post at Kearny","Golden Gate at Polk",3,719
"Post at Kearny","Post at Kearny",3,6957.33333333333
"Post at Kearny","Washington at Kearny",3,275.666666666667
"Powell Street BART","2nd at Townsend",3,1438.66666666667
"Powell Street BART","Howard at 2nd",3,631.333333333333
"Powell Street BART","Mechanics Plaza (Market at Battery)",3,434.666666666667
"Powell Street BART","Powell Street BART",3,3088.33333333333
"Powell Street BART","Steuart at Market",3,500.666666666667
"Powell at Post (Union Square)","2nd at Townsend",3,587.333333333333
"Powell at Post (Union Square)","Market at 10th",3,427
"Powell at Post (Union Square)","Mechanics Plaza (Market at Battery)",3,380.333333333333
"Powell at Post (Union Square)","Yerba Buena Center of the Arts (3rd @ Howard)",3,364.666666666667
"Redwood City Caltrain Station","Redwood City Medical Center",3,559.666666666667
"Redwood City Public Library","Redwood City Caltrain Station",3,19239.3333333333
"San Antonio Caltrain Station","Rengstorff Avenue / California Street",3,367
"San Francisco Caltrain (Townsend at 4th)","2nd at South Park",3,168
"San Francisco Caltrain 2 (330 Townsend)","San Francisco Caltrain 2 (330 Townsend)",3,3399
"San Francisco Caltrain 2 (330 Townsend)","San Francisco City Hall",3,713.666666666667
"San Francisco City Hall","Commercial at Montgomery",3,1334.33333333333
"San Francisco City Hall","Market at Sansome",3,2160
"San Francisco City Hall","Townsend at 7th",3,707
"Santa Clara County Civic Center","Ryland Park",3,694
"Santa Clara at Almaden","SJSU 4th at San Carlos",3,419.333333333333
"South Van Ness at Market","Grant Avenue at Columbus Avenue",3,1292
"South Van Ness at Market","Harry Bridges Plaza (Ferry Building)",3,857.333333333333
"South Van Ness at Market","Howard at 2nd",3,988.666666666667
"South Van Ness at Market","Powell at Post (Union Square)",3,748.666666666667
"South Van Ness at Market","South Van Ness at Market",3,1516.66666666667
"Spear at Folsom","2nd at Folsom",3,276.666666666667
"Spear at Folsom","Davis at Jackson",3,499.666666666667
"Spear at Folsom","Market at 10th",3,1094
"Steuart at Market","5th at Howard",3,701
"Temporary Transbay Terminal (Howard at Beale)","Yerba Buena Center of the Arts (3rd @ Howard)",3,332.333333333333
"Townsend at 7th","Market at 4th",3,699
"Washington at Kearny","5th at Howard",3,707.666666666667
"Washington at Kearny","Market at 4th",3,416
"Washington at Kearny","Mechanics Plaza (Market at Battery)",3,359.333333333333
"Yerba Buena Center of the Arts (3rd @ Howard)","Mechanics Plaza (Market at Battery)",3,474.333333333333
"Yerba Buena Center of the Arts (3rd @ Howard)","Post at Kearny",3,414
"2nd at Folsom","Broadway St at Battery St",2,799
"2nd at Folsom","Embarcadero at Bryant",2,289
"2nd at Folsom","Golden Gate at Polk",2,15218.5
"2nd at Folsom","Steuart at Market",2,522.5
"2nd at South Park","Beale at Market",2,896
"2nd at South Park","Clay at Battery",2,899.5
"2nd at South Park","Embarcadero at Bryant",2,418
"2nd at South Park","Grant Avenue at Columbus Avenue",2,5761
"2nd at South Park","San Francisco City Hall",2,1663.5
"2nd at South Park","Spear at Folsom",2,630.5
"2nd at South Park","Washington at Kearny",2,993.5
"2nd at South Park","Yerba Buena Center of the Arts (3rd @ Howard)",2,522.5
"2nd at Townsend","Beale at Market",2,635
"2nd at Townsend","Powell Street BART",2,1357
"2nd at Townsend","San Francisco City Hall",2,1799
"2nd at Townsend","Washington at Kearny",2,839.5
"5th at Howard","2nd at South Park",2,292.5
"5th at Howard","5th at Howard",2,12212
"5th at Howard","Civic Center BART (7th at Market)",2,351.5
"5th at Howard","Clay at Battery",2,703
"5th at Howard","Grant Avenue at Columbus Avenue",2,618.5
"5th at Howard","Spear at Folsom",2,610.5
"5th at Howard","Washington at Kearny",2,1749
"Arena Green / SAP Center","San Pedro Square",2,273
"Arena Green / SAP Center","Santa Clara at Almaden",2,166
"Beale at Market","Market at 4th",2,366
"Beale at Market","Mechanics Plaza (Market at Battery)",2,275
"Beale at Market","Post at Kearny",2,846.5
"Beale at Market","Spear at Folsom",2,296
"Beale at Market","Steuart at Market",2,293
"Broadway St at Battery St","Civic Center BART (7th at Market)",2,909.5
"Broadway St at Battery St","Commercial at Montgomery",2,156.5
"Broadway St at Battery St","Grant Avenue at Columbus Avenue",2,3821.5
"Broadway St at Battery St","Townsend at 7th",2,1127
"Broadway St at Battery St","Yerba Buena Center of the Arts (3rd @ Howard)",2,630
"California Ave Caltrain Station","Palo Alto Caltrain Station",2,655
"California Ave Caltrain Station","San Antonio Caltrain Station",2,1449.5
"California Ave Caltrain Station","University and Emerson",2,861
"Castro Street and El Camino Real","Castro Street and El Camino Real",2,6154.5
"Civic Center BART (7th at Market)","Howard at 2nd",2,1212.5
"Civic Center BART (7th at Market)","Market at 10th",2,248
"Civic Center BART (7th at Market)","Mechanics Plaza (Market at Battery)",2,4816
"Civic Center BART (7th at Market)","Post at Kearny",2,367.5
"Civic Center BART (7th at Market)","Powell at Post (Union Square)",2,401.5
"Clay at Battery","Clay at Battery",2,508
"Clay at Battery","Commercial at Montgomery",2,172
"Clay at Battery","Davis at Jackson",2,134
"Clay at Battery","Embarcadero at Folsom",2,344
"Clay at Battery","Embarcadero at Vallejo",2,604
"Clay at Battery","Golden Gate at Polk",2,890
"Clay at Battery","Market at 10th",2,799
"Clay at Battery","Market at 4th",2,375.5
"Clay at Battery","Steuart at Market",2,244
"Commercial at Montgomery","Broadway St at Battery St",2,208
"Commercial at Montgomery","Powell at Post (Union Square)",2,541
"Commercial at Montgomery","San Francisco Caltrain 2 (330 Townsend)",2,711
"Commercial at Montgomery","Spear at Folsom",2,456.5
"Davis at Jackson","Washington at Kearny",2,745.5
"Embarcadero at Bryant","5th at Howard",2,644.5
"Embarcadero at Bryant","Broadway St at Battery St",2,513
"Embarcadero at Bryant","Commercial at Montgomery",2,542
"Embarcadero at Bryant","Powell Street BART",2,901
"Embarcadero at Bryant","Spear at Folsom",2,150
"Embarcadero at Folsom","Market at 10th",2,3600.5
"Embarcadero at Folsom","Yerba Buena Center of the Arts (3rd @ Howard)",2,399.5
"Embarcadero at Sansome","2nd at South Park",2,567.5
"Embarcadero at Vallejo","Embarcadero at Folsom",2,8766.5
"Embarcadero at Vallejo","Powell Street BART",2,739
"Evelyn Park and Ride","Evelyn Park and Ride",2,6591
"Golden Gate at Polk","Civic Center BART (7th at Market)",2,4316.5
"Golden Gate at Polk","Mechanics Plaza (Market at Battery)",2,641
"Golden Gate at Polk","Powell Street BART",2,625.5
"Golden Gate at Polk","San Francisco Caltrain (Townsend at 4th)",2,623
"Grant Avenue at Columbus Avenue","5th at Howard",2,641
"Grant Avenue at Columbus Avenue","Broadway St at Battery St",2,15349
"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",2,372
"Grant Avenue at Columbus Avenue","South Van Ness at Market",2,2961
"Grant Avenue at Columbus Avenue","Spear at Folsom",2,446.5
"Grant Avenue at Columbus Avenue","Steuart at Market",2,444
"Grant Avenue at Columbus Avenue","Yerba Buena Center of the Arts (3rd @ Howard)",2,831
"Harry Bridges Plaza (Ferry Building)","San Francisco City Hall",2,1219.5
"Harry Bridges Plaza (Ferry Building)","Spear at Folsom",2,219
"Howard at 2nd","Civic Center BART (7th at Market)",2,538
"Howard at 2nd","Davis at Jackson",2,464.5
"Howard at 2nd","Embarcadero at Bryant",2,834.5
"Howard at 2nd","Post at Kearny",2,253
"Howard at 2nd","San Francisco City Hall",2,1008.5
"Howard at 2nd","Yerba Buena Center of the Arts (3rd @ Howard)",2,141.5
"Japantown","San Pedro Square",2,479
"Japantown","St James Park",2,733
"MLK Library","Japantown",2,1064
"Market at 10th","2nd at South Park",2,777.5
"Market at 10th","Embarcadero at Vallejo",2,1362
"Market at 10th","Grant Avenue at Columbus Avenue",2,1004.5
"Market at 4th","2nd at South Park",2,362.5
"Market at 4th","Embarcadero at Bryant",2,1172.5
"Market at 4th","Mechanics Plaza (Market at Battery)",2,273
"Market at Sansome","5th at Howard",2,332
"Market at Sansome","Civic Center BART (7th at Market)",2,387
"Market at Sansome","Market at 4th",2,211
"Market at Sansome","Spear at Folsom",2,420
"Market at Sansome","Townsend at 7th",2,777.5
"Market at Sansome","Washington at Kearny",2,426.5
"Mechanics Plaza (Market at Battery)","2nd at South Park",2,419.5
"Mechanics Plaza (Market at Battery)","Clay at Battery",2,257
"Mechanics Plaza (Market at Battery)","Embarcadero at Folsom",2,302.5
"Mechanics Plaza (Market at Battery)","Grant Avenue at Columbus Avenue",2,634.5
"Mechanics Plaza (Market at Battery)","Post at Kearny",2,286.5
"Mountain View Caltrain Station","San Antonio Caltrain Station",2,1187
"Mountain View Caltrain Station","San Antonio Shopping Center",2,1001.5
"Mountain View City Hall","Mountain View City Hall",2,5875
"Mountain View City Hall","San Antonio Shopping Center",2,794.5
"Paseo de San Antonio","Adobe on Almaden",2,1229.5
"Paseo de San Antonio","San Jose City Hall",2,485.5
"Paseo de San Antonio","San Jose Civic Center",2,207
"Paseo de San Antonio","San Jose Diridon Caltrain Station",2,537.5
"Post at Kearny","2nd at Folsom",2,348
"Post at Kearny","Broadway St at Battery St",2,961.5
"Post at Kearny","Davis at Jackson",2,440
"Post at Kearny","Market at 10th",2,666.5
"Post at Kearny","Mechanics Plaza (Market at Battery)",2,12035.5
"Post at Kearny","Powell Street BART",2,318
"Post at Kearny","Temporary Transbay Terminal (Howard at Beale)",2,426
"Post at Kearny","Yerba Buena Center of the Arts (3rd @ Howard)",2,248
"Powell Street BART","Clay at Battery",2,757
"Powell Street BART","Embarcadero at Bryant",2,6285
"Powell Street BART","Embarcadero at Vallejo",2,13224
"Powell Street BART","Grant Avenue at Columbus Avenue",2,792
"Powell Street BART","Powell at Post (Union Square)",2,493.5
"Powell Street BART","Spear at Folsom",2,654
"Powell at Post (Union Square)","2nd at South Park",2,441.5
"Powell at Post (Union Square)","5th at Howard",2,334.5
"Powell at Post (Union Square)","Commercial at Montgomery",2,465
"Powell at Post (Union Square)","Embarcadero at Bryant",2,733.5
"Powell at Post (Union Square)","Golden Gate at Polk",2,780.5
"Powell at Post (Union Square)","Powell Street BART",2,599.5
"Powell at Post (Union Square)","San Francisco City Hall",2,945
"Powell at Post (Union Square)","Townsend at 7th",2,778.5
"Redwood City Caltrain Station","San Mateo County Center",2,140.5
"Redwood City Medical Center","Redwood City Caltrain Station",2,477
"Rengstorff Avenue / California Street","Rengstorff Avenue / California Street",2,564
"Rengstorff Avenue / California Street","San Antonio Caltrain Station",2,322
"Ryland Park","San Jose City Hall",2,1181
"SJSU - San Salvador at 9th","SJSU - San Salvador at 9th",2,410.5
"SJSU 4th at San Carlos","SJSU 4th at San Carlos",2,3669.5
"SJSU 4th at San Carlos","San Jose Civic Center",2,836.5
"SJSU 4th at San Carlos","San Salvador at 1st",2,784.5
"SJSU 4th at San Carlos","Santa Clara at Almaden",2,374.5
"San Antonio Shopping Center","Mountain View Caltrain Station",2,741
"San Antonio Shopping Center","Mountain View City Hall",2,848.5
"San Francisco Caltrain (Townsend at 4th)","San Francisco Caltrain 2 (330 Townsend)",2,22029.5
"San Francisco Caltrain 2 (330 Townsend)","Clay at Battery",2,992.5
"San Francisco City Hall","San Francisco City Hall",2,6632
"San Jose City Hall","Japantown",2,649.5
"San Jose Civic Center","Paseo de San Antonio",2,247.5
"San Jose Civic Center","St James Park",2,496
"San Jose Diridon Caltrain Station","SJSU - San Salvador at 9th",2,739.5
"San Mateo County Center","Mezes Park",2,6947
"San Pedro Square","Arena Green / SAP Center",2,203
"San Pedro Square","Japantown",2,507
"San Pedro Square","Paseo de San Antonio",2,1079
"San Pedro Square","San Jose City Hall",2,880
"San Pedro Square","Santa Clara County Civic Center",2,669
"San Salvador at 1st","Japantown",2,572
"South Van Ness at Market","2nd at Folsom",2,895
"South Van Ness at Market","2nd at South Park",2,639
"South Van Ness at Market","Beale at Market",2,833
"South Van Ness at Market","Commercial at Montgomery",2,737.5
"South Van Ness at Market","Embarcadero at Sansome",2,843.5
"South Van Ness at Market","Post at Kearny",2,970
"South Van Ness at Market","San Francisco Caltrain (Townsend at 4th)",2,725
"South Van Ness at Market","Washington at Kearny",2,832
"Spear at Folsom","2nd at Townsend",2,885.5
"Spear at Folsom","Beale at Market",2,752
"Spear at Folsom","Clay at Battery",2,507.5
"Spear at Folsom","Embarcadero at Folsom",2,712.5
"Spear at Folsom","Howard at 2nd",2,470.5
"Spear at Folsom","Spear at Folsom",2,333
"Spear at Folsom","Temporary Transbay Terminal (Howard at Beale)",2,319
"Spear at Folsom","Yerba Buena Center of the Arts (3rd @ Howard)",2,354.5
"St James Park","San Pedro Square",2,307
"St James Park","San Salvador at 1st",2,477.5
"Stanford in Redwood City","Stanford in Redwood City",2,465
"Steuart at Market","2nd at Folsom",2,626
"Steuart at Market","Davis at Jackson",2,2998.5
"Steuart at Market","Harry Bridges Plaza (Ferry Building)",2,2182
"Temporary Transbay Terminal (Howard at Beale)","2nd at Folsom",2,226
"Temporary Transbay Terminal (Howard at Beale)","Beale at Market",2,198
"Temporary Transbay Terminal (Howard at Beale)","Howard at 2nd",2,176.5
"Temporary Transbay Terminal (Howard at Beale)","Market at Sansome",2,237
"Temporary Transbay Terminal (Howard at Beale)","Spear at Folsom",2,879
"Temporary Transbay Terminal (Howard at Beale)","Temporary Transbay Terminal (Howard at Beale)",2,367
"Townsend at 7th","2nd at South Park",2,213
