"station_name","out_degree","in_degree","balance"
"2nd at Folsom",153,0,153
"2nd at South Park",180,3,177
"2nd at Townsend",273,5,268
"5th at Howard",111,3,108
"Adobe on Almaden",11,0,11
"Arena Green / SAP Center",21,3,18
"Beale at Market",180,4,176
"Broadway St at Battery St",90,0,90
"California Ave Caltrain Station",20,0,20
"Castro Street and El Camino Real",33,3,30
"Civic Center BART (7th at Market)",156,7,149
"Clay at Battery",91,1,90
"Commercial at Montgomery",122,2,120
"Cowper at University",19,2,17
"Davis at Jackson",100,5,95
"Embarcadero at Bryant",150,3,147
"Embarcadero at Folsom",129,3,126
"Embarcadero at Sansome",262,9,253
"Embarcadero at Vallejo",107,3,104
"Evelyn Park and Ride",17,0,17
"Franklin at Maple",1,0,1
"Golden Gate at Polk",76,3,73
"Grant Avenue at Columbus Avenue",167,5,162
"Harry Bridges Plaza (Ferry Building)",313,16,297
"Howard at 2nd",124,4,120
"Japantown",21,1,20
"MLK Library",9,1,8
"Market at 10th",193,6,187
"Market at 4th",200,5,195
"Market at Sansome",302,2,300
"Mechanics Plaza (Market at Battery)",130,7,123
"Mezes Park",5,0,5
"Mountain View Caltrain Station",85,2,83
"Mountain View City Hall",38,3,35
"Palo Alto Caltrain Station",29,10,19
"Park at Olive",12,0,12
"Paseo de San Antonio",26,1,25
"Post at Kearney",75,0,75
"Powell Street BART",153,3,150
"Powell at Post (Union Square)",123,2,121
"Redwood City Caltrain Station",13,4,9
"Redwood City Public Library",3,2,1
"Rengstorff Avenue / California Street",21,2,19
"Ryland Park",41,6,35
"SJSU - San Salvador at 9th",27,0,27
"SJSU 4th at San Carlos",11,3,8
"San Antonio Caltrain Station",35,2,33
"San Antonio Shopping Center",34,1,33
"San Francisco Caltrain (Townsend at 4th)",542,11,531
"San Francisco Caltrain 2 (330 Townsend)",312,7,305
"San Francisco City Hall",56,10,46
"San Jose City Hall",26,0,26
"San Jose Civic Center",14,3,11
"San Jose Diridon Caltrain Station",116,0,116
"San Mateo County Center",5,1,4
"San Pedro Square",28,1,27
"San Salvador at 1st",23,1,22
"Santa Clara County Civic Center",16,0,16
"Santa Clara at Almaden",33,2,31
"South Van Ness at Market",127,5,122
"Spear at Folsom",127,1,126
"St James Park",28,1,27
"Stanford in Redwood City",2,0,2
"Steuart at Market",254,9,245
"Temporary Transbay Terminal (Howard at Beale)",274,1,273
"Townsend at 7th",220,6,214
"University and Emerson",12,9,3
"Washington at Kearney",61,0,61
"Yerba Buena Center of the Arts (3rd @ Howard)",107,0,107
