"start_station_name","end_station_name","total_trips_2014","avg_duration.x","total_trips_2015","avg_duration.y","trip_change","percent_change"
"Davis at Jackson","Embarcadero at Sansome",8,369,26,654.884615384615,18,225
"Davis at Jackson","Embarcadero at Vallejo",1,564,1,611,0,0
"Davis at Jackson","Golden Gate at Polk",1,789,NA,NA,NA,NA
"Davis at Jackson","Grant Avenue at Columbus Avenue",7,913,NA,NA,NA,NA
"Davis at Jackson","Harry Bridges Plaza (Ferry Building)",4,438.25,1,571,-3,-75
"Davis at Jackson","Howard at 2nd",1,418,NA,NA,NA,NA
"Davis at Jackson","Market at 10th",5,956.2,NA,NA,NA,NA
"Davis at Jackson","Market at 4th",1,1750,1,539,0,0
"Davis at Jackson","Market at Sansome",7,430.428571428571,9,433.555555555556,2,28.5714285714286
"Davis at Jackson","Mechanics Plaza (Market at Battery)",4,563.5,1,292,-3,-75
"Davis at Jackson","Post at Kearny",NA,NA,3,481,NA,NA
"Davis at Jackson","Powell at Post (Union Square)",2,641.5,1,775,-1,-50
"Davis at Jackson","Powell Street BART",4,1156.25,1,658,-3,-75
"Davis at Jackson","San Francisco Caltrain (Townsend at 4th)",15,823.533333333333,28,935.428571428571,13,86.6666666666667
"Davis at Jackson","San Francisco Caltrain 2 (330 Townsend)",6,863.333333333333,14,846.357142857143,8,133.333333333333
"Davis at Jackson","Spear at Folsom",4,427,4,427.75,0,0
"Davis at Jackson","Steuart at Market",1,240,NA,NA,NA,NA
"Davis at Jackson","Temporary Transbay Terminal (Howard at Beale)",1,315,6,307.666666666667,5,500
"Davis at Jackson","Townsend at 7th",3,3837.66666666667,NA,NA,NA,NA
"Davis at Jackson","Washington at Kearny",1,335,2,745.5,1,100
"Embarcadero at Bryant","2nd at Folsom",1,352,3,578,2,200
"Embarcadero at Bryant","2nd at South Park",1,433,1,1827,0,0
"Embarcadero at Bryant","2nd at Townsend",1,242,13,323.384615384615,12,1200
"Embarcadero at Bryant","5th at Howard",NA,NA,2,644.5,NA,NA
"Embarcadero at Bryant","Beale at Market",1,635,4,493,3,300
"Embarcadero at Bryant","Broadway St at Battery St",1,869,2,513,1,100
"Embarcadero at Bryant","Clay at Battery",8,495.875,NA,NA,NA,NA
"Embarcadero at Bryant","Commercial at Montgomery",7,3024.14285714286,2,542,-5,-71.4285714285714
"Embarcadero at Bryant","Davis at Jackson",2,535,3,605.333333333333,1,50
"Embarcadero at Bryant","Embarcadero at Bryant",3,15557.3333333333,7,992,4,133.333333333333
"Embarcadero at Bryant","Embarcadero at Folsom",11,498.727272727273,11,274.818181818182,0,0
"Embarcadero at Bryant","Embarcadero at Sansome",12,1125.5,15,827.6,3,25
"Embarcadero at Bryant","Embarcadero at Vallejo",7,476.142857142857,13,793.307692307692,6,85.7142857142857
"Embarcadero at Bryant","Golden Gate at Polk",NA,NA,1,2320,NA,NA
"Embarcadero at Bryant","Grant Avenue at Columbus Avenue",NA,NA,1,1282,NA,NA
"Embarcadero at Bryant","Harry Bridges Plaza (Ferry Building)",22,529.954545454545,7,428.857142857143,-15,-68.1818181818182
"Embarcadero at Bryant","Howard at 2nd",2,441.5,1,443,-1,-50
"Embarcadero at Bryant","Market at 4th",1,779,1,722,0,0
"Embarcadero at Bryant","Market at Sansome",3,612.333333333333,NA,NA,NA,NA
"Embarcadero at Bryant","Mechanics Plaza (Market at Battery)",8,601.625,10,450.9,2,25
"Embarcadero at Bryant","Post at Kearny",3,742,NA,NA,NA,NA
"Embarcadero at Bryant","Powell at Post (Union Square)",1,888,1,720,0,0
"Embarcadero at Bryant","Powell Street BART",1,1224,2,901,1,100
"Embarcadero at Bryant","San Francisco Caltrain (Townsend at 4th)",28,499.928571428571,25,451.64,-3,-10.7142857142857
"Embarcadero at Bryant","San Francisco Caltrain 2 (330 Townsend)",8,513.625,5,386.6,-3,-37.5
"Embarcadero at Bryant","San Francisco City Hall",NA,NA,1,1133,NA,NA
"Embarcadero at Bryant","Spear at Folsom",6,239,2,150,-4,-66.6666666666667
"Embarcadero at Bryant","Steuart at Market",6,335.5,9,330.555555555556,3,50
"Embarcadero at Bryant","Temporary Transbay Terminal (Howard at Beale)",2,288.5,NA,NA,NA,NA
"Embarcadero at Bryant","Townsend at 7th",3,657.333333333333,7,557,4,133.333333333333
"Embarcadero at Bryant","Washington at Kearny",1,687,NA,NA,NA,NA
"Embarcadero at Bryant","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,1,689,NA,NA
"Embarcadero at Folsom","2nd at Folsom",NA,NA,1,471,NA,NA
"Embarcadero at Folsom","2nd at South Park",5,441.2,5,258.4,0,0
"Embarcadero at Folsom","2nd at Townsend",6,8689.83333333333,11,449.727272727273,5,83.3333333333333
"Embarcadero at Folsom","5th at Howard",NA,NA,1,626,NA,NA
"Embarcadero at Folsom","Beale at Market",4,213.75,1,1423,-3,-75
"Embarcadero at Folsom","Broadway St at Battery St",1,320,1,1034,0,0
"Embarcadero at Folsom","Clay at Battery",2,569.5,NA,NA,NA,NA
"Embarcadero at Folsom","Commercial at Montgomery",NA,NA,3,700.666666666667,NA,NA
"Embarcadero at Folsom","Davis at Jackson",3,450,NA,NA,NA,NA
"Embarcadero at Folsom","Embarcadero at Bryant",9,1064.66666666667,7,146.142857142857,-2,-22.2222222222222
"Embarcadero at Folsom","Embarcadero at Folsom",3,1346.66666666667,NA,NA,NA,NA
"Embarcadero at Folsom","Embarcadero at Sansome",15,1338.73333333333,13,2061.84615384615,-2,-13.3333333333333
"Embarcadero at Folsom","Embarcadero at Vallejo",NA,NA,5,418,NA,NA
"Embarcadero at Folsom","Grant Avenue at Columbus Avenue",2,565,1,714,-1,-50
"Embarcadero at Folsom","Harry Bridges Plaza (Ferry Building)",1,1263,4,3949.5,3,300
"Embarcadero at Folsom","Howard at 2nd",4,264.25,4,356.75,0,0
"Embarcadero at Folsom","Market at 10th",1,1169,2,3600.5,1,100
"Embarcadero at Folsom","Market at 4th",2,685,5,1410.6,3,150
"Embarcadero at Folsom","Market at Sansome",4,3335.25,NA,NA,NA,NA
"Embarcadero at Folsom","Mechanics Plaza (Market at Battery)",1,323,3,1723.33333333333,2,200
"Embarcadero at Folsom","Powell Street BART",1,1003,NA,NA,NA,NA
"Embarcadero at Folsom","San Francisco Caltrain (Townsend at 4th)",38,602.21052631579,46,638.391304347826,8,21.0526315789474
"Embarcadero at Folsom","San Francisco Caltrain 2 (330 Townsend)",16,600.625,26,668.923076923077,10,62.5
"Embarcadero at Folsom","South Van Ness at Market",NA,NA,3,1143,NA,NA
"Embarcadero at Folsom","Spear at Folsom",1,5540,NA,NA,NA,NA
"Embarcadero at Folsom","Steuart at Market",5,158.8,6,233,1,20
"Embarcadero at Folsom","Temporary Transbay Terminal (Howard at Beale)",1,191,NA,NA,NA,NA
"Embarcadero at Folsom","Townsend at 7th",NA,NA,8,809.25,NA,NA
"Embarcadero at Folsom","Washington at Kearny",3,508,6,587.166666666667,3,100
"Embarcadero at Folsom","Yerba Buena Center of the Arts (3rd @ Howard)",1,476,2,399.5,1,100
"Embarcadero at Sansome","2nd at Folsom",NA,NA,1,788,NA,NA
"Embarcadero at Sansome","2nd at South Park",1,1336,2,567.5,1,100
"Embarcadero at Sansome","2nd at Townsend",9,952.222222222222,13,1934.61538461538,4,44.4444444444444
"Embarcadero at Sansome","5th at Howard",4,1056,3,1222.33333333333,-1,-25
"Embarcadero at Sansome","Beale at Market",19,626.21052631579,10,536.1,-9,-47.3684210526316
"Embarcadero at Sansome","Broadway St at Battery St",1,188,4,269.5,3,300
"Embarcadero at Sansome","Civic Center BART (7th at Market)",4,1216.5,6,11906.1666666667,2,50
"Embarcadero at Sansome","Clay at Battery",10,529.6,13,385.230769230769,3,30
"Embarcadero at Sansome","Commercial at Montgomery",8,449.5,4,590.5,-4,-50
"Embarcadero at Sansome","Davis at Jackson",9,420.111111111111,16,281.8125,7,77.7777777777778
"Embarcadero at Sansome","Embarcadero at Bryant",13,1920.61538461538,9,756.888888888889,-4,-30.7692307692308
"Embarcadero at Sansome","Embarcadero at Folsom",7,1248.85714285714,10,497.6,3,42.8571428571429
"Embarcadero at Sansome","Embarcadero at Sansome",9,3396,26,2724.92307692308,17,188.888888888889
"Embarcadero at Sansome","Embarcadero at Vallejo",2,240,13,2303.46153846154,11,550
"Embarcadero at Sansome","Golden Gate at Polk",4,913,3,1791.33333333333,-1,-25
"Embarcadero at Sansome","Grant Avenue at Columbus Avenue",2,808,10,3257.8,8,400
"Embarcadero at Sansome","Harry Bridges Plaza (Ferry Building)",26,524.307692307692,34,480.470588235294,8,30.7692307692308
"Embarcadero at Sansome","Howard at 2nd",NA,NA,8,706.625,NA,NA
"Embarcadero at Sansome","Market at 10th",2,1070.5,5,1712.2,3,150
"Embarcadero at Sansome","Market at 4th",5,1349.4,9,1551,4,80
"Embarcadero at Sansome","Market at Sansome",9,785.333333333333,6,903.833333333333,-3,-33.3333333333333
"Embarcadero at Sansome","Mechanics Plaza (Market at Battery)",7,620.571428571429,15,2073,8,114.285714285714
"Embarcadero at Sansome","Post at Kearny",2,616,6,1657,4,200
"Embarcadero at Sansome","Powell at Post (Union Square)",10,1435.6,5,1360,-5,-50
"Embarcadero at Sansome","Powell Street BART",2,714,13,1116.92307692308,11,550
"Embarcadero at Sansome","San Francisco Caltrain (Townsend at 4th)",15,1255.93333333333,15,983.733333333333,0,0
"Embarcadero at Sansome","San Francisco Caltrain 2 (330 Townsend)",3,1113,8,985.875,5,166.666666666667
"Embarcadero at Sansome","San Francisco City Hall",3,1844.66666666667,NA,NA,NA,NA
"Embarcadero at Sansome","South Van Ness at Market",1,1550,5,1215.6,4,400
"Embarcadero at Sansome","Spear at Folsom",3,537,6,544.166666666667,3,100
"Embarcadero at Sansome","Steuart at Market",49,412.755102040816,68,407.323529411765,19,38.7755102040816
"Embarcadero at Sansome","Temporary Transbay Terminal (Howard at Beale)",12,573.166666666667,15,541.666666666667,3,25
"Embarcadero at Sansome","Townsend at 7th",4,1274,3,1322.33333333333,-1,-25
"Embarcadero at Sansome","Washington at Kearny",7,750.428571428571,NA,NA,NA,NA
"Embarcadero at Vallejo","2nd at South Park",2,737.5,NA,NA,NA,NA
"Embarcadero at Vallejo","2nd at Townsend",NA,NA,9,1053.44444444444,NA,NA
"Embarcadero at Vallejo","5th at Howard",1,773,NA,NA,NA,NA
"Embarcadero at Vallejo","Beale at Market",4,282.5,3,265.666666666667,-1,-25
"Embarcadero at Vallejo","Civic Center BART (7th at Market)",NA,NA,3,15560,NA,NA
"Embarcadero at Vallejo","Clay at Battery",2,340.5,1,563,-1,-50
"Embarcadero at Vallejo","Commercial at Montgomery",1,555,NA,NA,NA,NA
"Embarcadero at Vallejo","Davis at Jackson",1,2680,4,767,3,300
"Embarcadero at Vallejo","Embarcadero at Bryant",6,397.666666666667,8,651,2,33.3333333333333
"Embarcadero at Vallejo","Embarcadero at Folsom",4,405,2,8766.5,-2,-50
"Embarcadero at Vallejo","Embarcadero at Sansome",18,1844.11111111111,18,3781.83333333333,0,0
"Embarcadero at Vallejo","Embarcadero at Vallejo",3,966.333333333333,8,13906.75,5,166.666666666667
"Embarcadero at Vallejo","Grant Avenue at Columbus Avenue",1,1856,NA,NA,NA,NA
"Embarcadero at Vallejo","Harry Bridges Plaza (Ferry Building)",3,262,8,835,5,166.666666666667
"Embarcadero at Vallejo","Howard at 2nd",NA,NA,1,530,NA,NA
"Embarcadero at Vallejo","Market at 10th",NA,NA,1,956,NA,NA
"Embarcadero at Vallejo","Market at 4th",5,997.6,5,26444.4,0,0
"Embarcadero at Vallejo","Market at Sansome",4,621.75,3,972.333333333333,-1,-25
"Embarcadero at Vallejo","Mechanics Plaza (Market at Battery)",4,362.25,NA,NA,NA,NA
"Embarcadero at Vallejo","Post at Kearny",NA,NA,3,935,NA,NA
"Embarcadero at Vallejo","Powell at Post (Union Square)",2,1348.5,1,756,-1,-50
"Embarcadero at Vallejo","Powell Street BART",3,942,2,739,-1,-33.3333333333333
"Embarcadero at Vallejo","San Francisco Caltrain (Townsend at 4th)",19,957.473684210526,12,979,-7,-36.8421052631579
"Embarcadero at Vallejo","San Francisco Caltrain 2 (330 Townsend)",2,861,6,994,4,200
"Embarcadero at Vallejo","San Francisco City Hall",1,1141,NA,NA,NA,NA
"Embarcadero at Vallejo","Steuart at Market",16,266.6875,21,346.142857142857,5,31.25
"Embarcadero at Vallejo","Temporary Transbay Terminal (Howard at Beale)",3,791.666666666667,12,468.583333333333,9,300
"Embarcadero at Vallejo","Townsend at 7th",NA,NA,3,1004.33333333333,NA,NA
"Embarcadero at Vallejo","Washington at Kearny",2,439.5,NA,NA,NA,NA
"Evelyn Park and Ride","Evelyn Park and Ride",NA,NA,2,6591,NA,NA
"Evelyn Park and Ride","Mountain View Caltrain Station",17,338.117647058824,19,269.526315789474,2,11.7647058823529
"Franklin at Maple","Franklin at Maple",NA,NA,1,4006,NA,NA
"Franklin at Maple","Redwood City Caltrain Station",1,237,NA,NA,NA,NA
"Golden Gate at Polk","2nd at Folsom",NA,NA,1,931,NA,NA
"Golden Gate at Polk","2nd at South Park",1,847,NA,NA,NA,NA
"Golden Gate at Polk","5th at Howard",NA,NA,1,379,NA,NA
"Golden Gate at Polk","Beale at Market",NA,NA,1,1059,NA,NA
"Golden Gate at Polk","Civic Center BART (7th at Market)",4,319.25,2,4316.5,-2,-50
"Golden Gate at Polk","Clay at Battery",NA,NA,1,656,NA,NA
"Golden Gate at Polk","Embarcadero at Bryant",1,971,NA,NA,NA,NA
"Golden Gate at Polk","Embarcadero at Folsom",1,767,NA,NA,NA,NA
"Golden Gate at Polk","Embarcadero at Sansome",2,878.5,5,1257.6,3,150
"Golden Gate at Polk","Embarcadero at Vallejo",4,724.25,NA,NA,NA,NA
"Golden Gate at Polk","Golden Gate at Polk",3,7864.66666666667,1,2171,-2,-66.6666666666667
"Golden Gate at Polk","Harry Bridges Plaza (Ferry Building)",1,810,1,1441,0,0
"Golden Gate at Polk","Howard at 2nd",2,741,NA,NA,NA,NA
"Golden Gate at Polk","Market at 10th",3,207.333333333333,7,289,4,133.333333333333
"Golden Gate at Polk","Market at 4th",NA,NA,5,564,NA,NA
"Golden Gate at Polk","Market at Sansome",8,617,4,453.25,-4,-50
"Golden Gate at Polk","Mechanics Plaza (Market at Battery)",NA,NA,2,641,NA,NA
"Golden Gate at Polk","Post at Kearny",1,711,8,622.75,7,700
"Golden Gate at Polk","Powell at Post (Union Square)",1,442,NA,NA,NA,NA
"Golden Gate at Polk","Powell Street BART",5,3737.4,2,625.5,-3,-60
"Golden Gate at Polk","San Francisco Caltrain (Townsend at 4th)",19,677.526315789474,2,623,-17,-89.4736842105263
"Golden Gate at Polk","San Francisco Caltrain 2 (330 Townsend)",2,890.5,18,685.555555555556,16,800
"Golden Gate at Polk","San Francisco City Hall",NA,NA,3,1176.66666666667,NA,NA
"Golden Gate at Polk","Spear at Folsom",1,1155,7,850.571428571429,6,600
"Golden Gate at Polk","Steuart at Market",4,816,7,686.714285714286,3,75
"Golden Gate at Polk","Temporary Transbay Terminal (Howard at Beale)",3,644.666666666667,11,760.363636363636,8,266.666666666667
"Golden Gate at Polk","Townsend at 7th",8,598.75,5,638.8,-3,-37.5
"Golden Gate at Polk","Yerba Buena Center of the Arts (3rd @ Howard)",2,595,4,611,2,100
"Grant Avenue at Columbus Avenue","2nd at Folsom",2,483.5,NA,NA,NA,NA
"Grant Avenue at Columbus Avenue","2nd at South Park",NA,NA,1,6303,NA,NA
"Grant Avenue at Columbus Avenue","2nd at Townsend",1,710,5,888.2,4,400
"Grant Avenue at Columbus Avenue","5th at Howard",1,789,2,641,1,100
"Grant Avenue at Columbus Avenue","Beale at Market",10,408.2,10,492,0,0
"Grant Avenue at Columbus Avenue","Broadway St at Battery St",4,264,2,15349,-2,-50
"Grant Avenue at Columbus Avenue","Civic Center BART (7th at Market)",3,959,3,1035,0,0
"Grant Avenue at Columbus Avenue","Clay at Battery",10,253.2,3,194.333333333333,-7,-70
"Grant Avenue at Columbus Avenue","Commercial at Montgomery",11,205.090909090909,9,240.666666666667,-2,-18.1818181818182
"Grant Avenue at Columbus Avenue","Davis at Jackson",NA,NA,1,10090,NA,NA
"Grant Avenue at Columbus Avenue","Embarcadero at Bryant",4,1184.75,NA,NA,NA,NA
"Grant Avenue at Columbus Avenue","Embarcadero at Folsom",13,536.076923076923,10,598.9,-3,-23.0769230769231
"Grant Avenue at Columbus Avenue","Embarcadero at Sansome",4,950.25,7,3349.85714285714,3,75
"Grant Avenue at Columbus Avenue","Embarcadero at Vallejo",NA,NA,4,1847,NA,NA
"Grant Avenue at Columbus Avenue","Golden Gate at Polk",NA,NA,1,929,NA,NA
"Grant Avenue at Columbus Avenue","Grant Avenue at Columbus Avenue",5,1684.2,2,372,-3,-60
"Grant Avenue at Columbus Avenue","Harry Bridges Plaza (Ferry Building)",4,469.5,5,766,1,25
"Grant Avenue at Columbus Avenue","Howard at 2nd",1,485,NA,NA,NA,NA
"Grant Avenue at Columbus Avenue","Market at 10th",3,1390.33333333333,3,843.333333333333,0,0
"Grant Avenue at Columbus Avenue","Market at 4th",6,548.833333333333,10,713.1,4,66.6666666666667
"Grant Avenue at Columbus Avenue","Market at Sansome",32,445.875,21,396.238095238095,-11,-34.375
"Grant Avenue at Columbus Avenue","Mechanics Plaza (Market at Battery)",NA,NA,6,336.666666666667,NA,NA
"Grant Avenue at Columbus Avenue","Post at Kearny",1,487,7,535.428571428571,6,600
"Grant Avenue at Columbus Avenue","Powell at Post (Union Square)",3,1171.33333333333,NA,NA,NA,NA
"Grant Avenue at Columbus Avenue","Powell Street BART",4,584.5,3,491.666666666667,-1,-25
"Grant Avenue at Columbus Avenue","San Francisco Caltrain (Townsend at 4th)",9,989,4,987,-5,-55.5555555555556
"Grant Avenue at Columbus Avenue","San Francisco Caltrain 2 (330 Townsend)",11,969.363636363636,3,1040.66666666667,-8,-72.7272727272727
"Grant Avenue at Columbus Avenue","South Van Ness at Market",2,962.5,2,2961,0,0
"Grant Avenue at Columbus Avenue","Spear at Folsom",2,685.5,2,446.5,0,0
"Grant Avenue at Columbus Avenue","Steuart at Market",6,532.833333333333,2,444,-4,-66.6666666666667
"Grant Avenue at Columbus Avenue","Temporary Transbay Terminal (Howard at Beale)",9,542.888888888889,9,460,0,0
"Grant Avenue at Columbus Avenue","Townsend at 7th",4,1303,1,1481,-3,-75
"Grant Avenue at Columbus Avenue","Washington at Kearny",2,150,1,140,-1,-50
"Grant Avenue at Columbus Avenue","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,2,831,NA,NA
"Harry Bridges Plaza (Ferry Building)","2nd at Folsom",5,635.8,10,441.4,5,100
"Harry Bridges Plaza (Ferry Building)","2nd at South Park",9,570.222222222222,18,546.444444444444,9,100
"Harry Bridges Plaza (Ferry Building)","2nd at Townsend",29,688.241379310345,58,668.189655172414,29,100
"Harry Bridges Plaza (Ferry Building)","5th at Howard",4,727.25,10,580.9,6,150
"Harry Bridges Plaza (Ferry Building)","Beale at Market",NA,NA,4,3237.25,NA,NA
"Harry Bridges Plaza (Ferry Building)","Broadway St at Battery St",3,34113.6666666667,5,2016.6,2,66.6666666666667
"Harry Bridges Plaza (Ferry Building)","Civic Center BART (7th at Market)",1,856,3,3314.33333333333,2,200
"Harry Bridges Plaza (Ferry Building)","Clay at Battery",3,1921.66666666667,4,211.75,1,33.3333333333333
"Harry Bridges Plaza (Ferry Building)","Commercial at Montgomery",5,498.4,9,1541.55555555556,4,80
"Harry Bridges Plaza (Ferry Building)","Davis at Jackson",5,193.8,NA,NA,NA,NA
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Bryant",10,443.2,14,429.142857142857,4,40
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Folsom",1,207,NA,NA,NA,NA
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Sansome",82,1315.0487804878,84,3552.77380952381,2,2.4390243902439
"Harry Bridges Plaza (Ferry Building)","Embarcadero at Vallejo",10,595.4,12,2196.83333333333,2,20
"Harry Bridges Plaza (Ferry Building)","Golden Gate at Polk",3,5362.33333333333,1,813,-2,-66.6666666666667
"Harry Bridges Plaza (Ferry Building)","Grant Avenue at Columbus Avenue",8,1829.625,8,3399.875,0,0
"Harry Bridges Plaza (Ferry Building)","Harry Bridges Plaza (Ferry Building)",16,7081.875,12,6611,-4,-25
"Harry Bridges Plaza (Ferry Building)","Howard at 2nd",19,455.78947368421,16,3360.9375,-3,-15.7894736842105
"Harry Bridges Plaza (Ferry Building)","Market at 10th",3,855.333333333333,3,1461.66666666667,0,0
"Harry Bridges Plaza (Ferry Building)","Market at 4th",7,1781.28571428571,11,895,4,57.1428571428571
"Harry Bridges Plaza (Ferry Building)","Market at Sansome",14,385.142857142857,12,960.25,-2,-14.2857142857143
"Harry Bridges Plaza (Ferry Building)","Mechanics Plaza (Market at Battery)",8,286,7,210.142857142857,-1,-12.5
"Harry Bridges Plaza (Ferry Building)","Post at Kearny",2,645,3,388.666666666667,1,50
"Harry Bridges Plaza (Ferry Building)","Powell at Post (Union Square)",5,3630.8,15,2023.53333333333,10,200
"Harry Bridges Plaza (Ferry Building)","Powell Street BART",2,7130.5,10,1841.2,8,400
"Harry Bridges Plaza (Ferry Building)","San Francisco Caltrain (Townsend at 4th)",24,911.458333333333,50,767.36,26,108.333333333333
"Harry Bridges Plaza (Ferry Building)","San Francisco Caltrain 2 (330 Townsend)",17,710.647058823529,9,897.888888888889,-8,-47.0588235294118
"Harry Bridges Plaza (Ferry Building)","San Francisco City Hall",NA,NA,2,1219.5,NA,NA
"Harry Bridges Plaza (Ferry Building)","Spear at Folsom",2,532,2,219,0,0
"Harry Bridges Plaza (Ferry Building)","Steuart at Market",1,126,1,623,0,0
"Harry Bridges Plaza (Ferry Building)","Temporary Transbay Terminal (Howard at Beale)",1,333,5,283,4,400
"Harry Bridges Plaza (Ferry Building)","Townsend at 7th",12,973.083333333333,14,890.928571428571,2,16.6666666666667
"Harry Bridges Plaza (Ferry Building)","Washington at Kearny",1,521,3,10305.3333333333,2,200
"Harry Bridges Plaza (Ferry Building)","Yerba Buena Center of the Arts (3rd @ Howard)",1,661,5,605.8,4,400
"Howard at 2nd","2nd at Folsom",1,4155,3,152,2,200
"Howard at 2nd","2nd at South Park",6,330.166666666667,1,132,-5,-83.3333333333333
"Howard at 2nd","2nd at Townsend",5,1846.2,6,380.333333333333,1,20
"Howard at 2nd","5th at Howard",12,266.666666666667,9,265.555555555556,-3,-25
"Howard at 2nd","Beale at Market",2,329,1,279,-1,-50
"Howard at 2nd","Civic Center BART (7th at Market)",3,585.333333333333,2,538,-1,-33.3333333333333
"Howard at 2nd","Commercial at Montgomery",1,494,NA,NA,NA,NA
"Howard at 2nd","Davis at Jackson",1,491,2,464.5,1,100
"Howard at 2nd","Embarcadero at Bryant",1,362,2,834.5,1,100
"Howard at 2nd","Embarcadero at Folsom",1,324,4,258.25,3,300
"Howard at 2nd","Embarcadero at Sansome",NA,NA,1,791,NA,NA
"Howard at 2nd","Embarcadero at Vallejo",2,1128.5,1,535,-1,-50
"Howard at 2nd","Golden Gate at Polk",1,719,NA,NA,NA,NA
"Howard at 2nd","Grant Avenue at Columbus Avenue",1,656,NA,NA,NA,NA
"Howard at 2nd","Harry Bridges Plaza (Ferry Building)",15,491.533333333333,8,382.75,-7,-46.6666666666667
"Howard at 2nd","Howard at 2nd",4,3301,3,948.666666666667,-1,-25
"Howard at 2nd","Market at 10th",2,843.5,1,594,-1,-50
"Howard at 2nd","Market at 4th",6,320.5,9,307.444444444444,3,50
"Howard at 2nd","Market at Sansome",4,150.5,10,177.9,6,150
"Howard at 2nd","Mechanics Plaza (Market at Battery)",1,263,1,193,0,0
"Howard at 2nd","Post at Kearny",1,8249,2,253,1,100
"Howard at 2nd","Powell at Post (Union Square)",5,1823.4,4,916.25,-1,-20
"Howard at 2nd","Powell Street BART",1,510,3,1613.66666666667,2,200
"Howard at 2nd","San Francisco Caltrain (Townsend at 4th)",22,464.409090909091,31,459.41935483871,9,40.9090909090909
"Howard at 2nd","San Francisco Caltrain 2 (330 Townsend)",7,471.285714285714,25,496.68,18,257.142857142857
"Howard at 2nd","San Francisco City Hall",NA,NA,2,1008.5,NA,NA
"Howard at 2nd","South Van Ness at Market",2,837.5,1,847,-1,-50
"Howard at 2nd","Spear at Folsom",1,336,4,426.75,3,300
"Howard at 2nd","Steuart at Market",9,379.555555555556,12,354.5,3,33.3333333333333
"Howard at 2nd","Temporary Transbay Terminal (Howard at Beale)",4,291,1,250,-3,-75
"Howard at 2nd","Townsend at 7th",2,821,7,800.571428571429,5,250
"Howard at 2nd","Washington at Kearny",1,296,1,320,0,0
"Howard at 2nd","Yerba Buena Center of the Arts (3rd @ Howard)",NA,NA,2,141.5,NA,NA
"Japantown","Adobe on Almaden",NA,NA,3,852,NA,NA
"Japantown","Arena Green / SAP Center",NA,NA,1,1095,NA,NA
"Japantown","Japantown",1,2903,NA,NA,NA,NA
"Japantown","MLK Library",1,1583,3,1057.66666666667,2,200
"Japantown","Paseo de San Antonio",2,1720.5,NA,NA,NA,NA
"Japantown","Ryland Park",3,35710.3333333333,6,666,3,100
"Japantown","San Jose Civic Center",NA,NA,3,2032.33333333333,NA,NA
"Japantown","San Jose Diridon Caltrain Station",4,840.5,9,810.777777777778,5,125
"Japantown","San Pedro Square",1,814,2,479,1,100
"Japantown","San Salvador at 1st",1,589,1,674,0,0
"Japantown","Santa Clara at Almaden",NA,NA,1,604,NA,NA
"Japantown","Santa Clara County Civic Center",5,615.4,1,477,-4,-80
"Japantown","SJSU - San Salvador at 9th",2,1578.5,NA,NA,NA,NA
"Japantown","SJSU 4th at San Carlos",NA,NA,1,1154,NA,NA
"Japantown","St James Park",1,332,2,733,1,100
"Market at 10th","2nd at Folsom",3,661,5,649,2,66.6666666666667
"Market at 10th","2nd at South Park",8,782.125,2,777.5,-6,-75
"Market at 10th","2nd at Townsend",NA,NA,1,1094,NA,NA
"Market at 10th","5th at Howard",1,396,6,439,5,500
"Market at 10th","Beale at Market",2,640.5,NA,NA,NA,NA
"Market at 10th","Civic Center BART (7th at Market)",8,201.5,7,174.428571428571,-1,-12.5
"Market at 10th","Clay at Battery",1,743,1,619,0,0
"Market at 10th","Commercial at Montgomery",2,1092.5,1,829,-1,-50
"Market at 10th","Davis at Jackson",5,789.6,6,803.166666666667,1,20
"Market at 10th","Embarcadero at Bryant",2,2246,NA,NA,NA,NA
"Market at 10th","Embarcadero at Folsom",NA,NA,1,940,NA,NA
"Market at 10th","Embarcadero at Sansome",1,3010,3,6265.33333333333,2,200
"Market at 10th","Embarcadero at Vallejo",NA,NA,2,1362,NA,NA
"Market at 10th","Golden Gate at Polk",1,186,4,234.5,3,300
"Market at 10th","Grant Avenue at Columbus Avenue",2,1068,2,1004.5,0,0
"Market at 10th","Harry Bridges Plaza (Ferry Building)",3,741.333333333333,6,1289.66666666667,3,100
"Market at 10th","Howard at 2nd",5,815.2,1,619,-4,-80
"Market at 10th","Market at 10th",6,6137.16666666667,11,1167,5,83.3333333333333
"Market at 10th","Market at 4th",25,470.28,16,439.1875,-9,-36
"Market at 10th","Market at Sansome",13,631.230769230769,5,563.2,-8,-61.5384615384615
"Market at 10th","Mechanics Plaza (Market at Battery)",2,681.5,7,655,5,250
"Market at 10th","Post at Kearny",4,414,5,510.6,1,25
"Market at 10th","Powell at Post (Union Square)",4,860,3,656.666666666667,-1,-25
"Market at 10th","Powell Street BART",20,318.55,17,422.411764705882,-3,-15
"Market at 10th","San Francisco Caltrain (Townsend at 4th)",43,579.674418604651,9,635.111111111111,-34,-79.0697674418605
