"station_name","total_trips"
"San Francisco Caltrain (Townsend at 4th)",542
"Harry Bridges Plaza (Ferry Building)",313
"San Francisco Caltrain 2 (330 Townsend)",312
"Market at Sansome",302
"Temporary Transbay Terminal (Howard at Beale)",274
"2nd at Townsend",273
"Embarcadero at Sansome",262
"Steuart at Market",254
"Townsend at 7th",220
"Market at 4th",200
